driver,q1
VET,99.621
GRO,99.679
ROS,70.347
HAM,70.457
MAS,70.602
BOT,70.832
BUT,71.097
VET,71.880
MAG,71.134
ALO,71.558
RIC,71.593
RAI,71.193
GUT,71.520
HUL,71.848
SUT,71.943
KVY,71.423
GRO,72.037
VER,72.040
PER,72.076
MAL,72.233
ROS,101.308
HAM,101.207
BOT,102.346
MAS,101.475
KVY,102.302
BUT,102.137
RAI,102.439
ALO,102.467
MAG,102.104
VER,102.413
PER,102.654
HUL,102.444
SUT,102.746
GRO,102.768
GUT,102.819
MAL,102.860
KOB,104.540
STE,105.095
HAM,88.586
ROS,88.906
MAS,89.246
VET,89.307
RAI,89.754
BOT,89.641
RIC,89.788
SAI,89.597
GRO,89.537
MAL,89.847
NAS,90.430
VER,89.248
KVY,90.402
HUL,89.651
PER,89.990
ERI,91.376
BUT,91.422
MAG,92.037
HAM,99.269
VET,99.814
ROS,99.374
RIC,100.504
