Position,driver,q1
1,ROS,77.631
2,RIC,78.117
3,VET,78.194
4,BOT,78.215
5,MAG,78.260
6,MAS,78.381
7,ALO,78.389
8,BUT,78.425
9,VER,78.496
10,KVY,78.530
11,RAI,78.534
12,HAM,78.683
13,GUT,78.739
14,GRO,78.894
15,PER,78.916
16,HUL,78.927
17,SUT,79.142
18,BIA,79.676
19,MAL,80.195
20,KOB,80.408
21,CHI,80.489
22,VER,84.941
23,ROS,85.227
24,KVY,85.361
25,RIC,85.495
26,VET,85.662
27,BOT,85.690
28,GUT,85.709
29,PER,85.910
30,SUT,86.027
31,ALO,86.087
32,GRO,86.136
33,HUL,86.149
34,MAG,86.578
35,MAS,86.592
36,BUT,86.612
37,BIA,86.728
38,RAI,86.792
39,KOB,87.139
40,CHI,87.819
41,ERI,88.643
42,KVY,101.032
43,BIA,101.169
44,CHI,102.082
45,SUT,102.603
46,VER,103.040
47,GRO,103.121
48,GUT,103.285
49,MAL,103.892
50,BOT,105.318
51,MAS,105.695
52,ALO,105.935
53,RAI,106.684
54,ERI,109.421
55,KOB,109.625
56,ROS,127.130
57,HAM,127.280
58,RIC,130.089
59,VET,130.105
60,ALO,130.197
