Position,driver,q1
1,HAM,69.514
2,KVY,69.678
3,ROS,69.695
4,MAG,70.081
5,PER,70.124
6,VER,70.161
7,BUT,70.252
8,RAI,70.285
9,MAS,70.292
10,BOT,70.356
11,HUL,70.389
12,RIC,70.395
13,ALO,70.405
14,GRO,70.461
15,VET,70.630
16,MAL,70.821
17,SUT,70.825
18,GUT,71.349
19,BIA,71.412
20,KOB,71.673
21,CHI,71.775
22,ERI,72.673
23,MAG,76.446
24,KVY,76.938
25,SUT,77.519
26,ROS,77.631
27,GRO,77.732
28,RIC,78.117
29,VET,78.194
30,BOT,78.215
31,PER,78.235
32,MAG,78.260
33,MAL,78.328
34,CHI,78.348
35,BIA,78.359
36,MAS,78.381
37,ALO,78.389
38,BUT,78.425
39,VER,78.496
40,KVY,78.530
41,RAI,78.534
42,HAM,78.683
43,GUT,78.739
44,GRO,78.894
45,PER,78.916
46,HUL,78.927
47,SUT,79.142
48,KOB,79.278
49,BIA,79.676
50,ERI,79.820
51,MAL,80.195
52,KOB,80.408
53,CHI,80.489
54,ROS,85.227
55,RIC,85.495
56,VET,85.662
57,BOT,85.690
58,ALO,86.087
59,ROS,100.380
60,KVY,101.032
61,HAM,101.058
62,BIA,101.169
63,HUL,101.271
64,CHI,102.082
65,PER,102.146
66,MAG,102.507
67,SUT,102.603
68,VER,103.040
69,GRO,103.121
70,GUT,103.285
71,MAL,103.892
72,BUT,104.425
73,RIC,104.710
74,VET,105.086
75,BOT,105.318
76,MAS,105.695
77,ALO,105.935
78,RAI,106.684
79,ERI,109.421
80,KOB,109.625
