Position,driver,q1
1,HAM,75.750
2,ROS,76.471
3,BUT,76.631
4,MAS,76.666
5,BOT,76.772
6,HUL,76.897
7,ALO,77.010
8,RAI,77.013
9,RIC,77.113
10,VER,77.178
11,VET,77.470
12,VER,77.557
13,ROS,77.678
14,HAM,77.823
15,ALO,77.853
16,BUT,77.890
17,RIC,77.900
18,RAI,77.902
19,MAG,77.978
20,PER,78.108
21,MAS,78.209
22,GRO,78.335
23,VET,78.383
24,BOT,78.407
25,HUL,78.432
26,MAL,78.585
27,KVY,78.616
28,GUT,78.741
29,SUT,78.745
30,BIA,79.332
31,CHI,79.928
32,KOB,80.133
33,ERI,81.732
34,ROS,86.764
35,HAM,87.238
36,VET,87.958
37,RIC,88.053
38,MAS,88.061
39,KVY,88.074
40,HUL,88.155
41,VER,88.194
42,BOT,88.198
43,BUT,88.279
44,RAI,88.308
45,ALO,88.329
46,GUT,88.374
47,MAG,88.389
48,PER,88.469
49,GRO,88.472
50,SUT,88.563
51,CHI,89.586
52,BIA,90.177
53,ERI,90.312
54,KOB,90.375
55,HUL,115.913
56,BOT,116.501
57,MAS,116.850
58,KVY,117.261
59,MAG,117.369
60,VER,117.477
61,BUT,117.783
62,SUT,118.138
63,RAI,118.279
64,PER,118.362
65,GRO,118.411
66,GUT,118.988
67,KOB,119.260
68,BIA,119.326
69,ERI,120.646
70,CHI,120.865
