Position,driver,q1
1,HAM,75.750
2,MAG,76.446
3,ROS,76.471
4,BUT,76.631
5,MAS,76.666
6,BOT,76.772
7,HUL,76.897
8,KVY,76.938
9,ALO,77.010
10,RAI,77.013
11,RIC,77.113
12,VER,77.178
13,VET,77.470
14,SUT,77.519
15,VER,77.557
16,ROS,77.678
17,GRO,77.732
18,HAM,77.823
19,ALO,77.853
20,BUT,77.890
21,RIC,77.900
22,RAI,77.902
23,MAG,77.978
24,PER,78.108
25,MAS,78.209
26,PER,78.235
27,MAL,78.328
28,GRO,78.335
29,CHI,78.348
30,BIA,78.359
31,VET,78.383
32,BOT,78.407
33,HUL,78.432
34,MAL,78.585
35,KVY,78.616
36,GUT,78.741
37,SUT,78.745
38,KOB,79.278
39,BIA,79.332
40,ERI,79.820
41,CHI,79.928
42,KOB,80.133
43,ERI,81.732
44,VER,88.194
45,MAG,88.389
46,SUT,88.563
47,CHI,89.586
48,BIA,90.177
49,ERI,90.312
50,KOB,90.375
