Position,driver,q1
1,PER,70.124
2,VER,70.161
3,BUT,70.252
4,GRO,70.461
5,VET,70.630
6,MAL,70.821
7,SUT,70.825
8,GUT,71.349
9,BIA,71.412
10,KOB,71.673
11,CHI,71.775
12,ERI,72.673
13,ROS,77.631
14,RIC,78.117
15,VET,78.194
16,BOT,78.215
17,MAG,78.260
18,MAS,78.381
19,ROS,100.380
20,KVY,101.032
21,HAM,101.058
22,BIA,101.169
23,HUL,101.271
24,CHI,102.082
25,PER,102.146
26,MAG,102.507
27,SUT,102.603
28,VER,103.040
29,GRO,103.121
30,GUT,103.285
31,MAL,103.892
32,BUT,104.425
33,RIC,104.710
34,VET,105.086
35,BOT,105.318
36,MAS,105.695
37,ALO,105.935
38,RAI,106.684
39,ERI,109.421
40,KOB,109.625
