Position,driver,q1
1,HAM,69.514
2,KVY,69.678
3,ROS,69.695
4,MAG,70.081
5,RAI,70.285
6,MAS,70.292
7,BOT,70.356
8,HUL,70.389
9,RIC,70.395
10,ALO,70.405
11,HAM,75.750
12,MAG,76.446
13,ROS,76.471
14,BUT,76.631
15,MAS,76.666
16,BOT,76.772
17,HUL,76.897
18,KVY,76.938
19,ALO,77.010
20,RAI,77.013
21,RIC,77.113
22,VER,77.178
23,VET,77.470
24,SUT,77.519
25,VER,77.557
26,ROS,77.678
27,GRO,77.732
28,HAM,77.823
29,ALO,77.853
30,BUT,77.890
31,RIC,77.900
32,RAI,77.902
33,MAG,77.978
34,PER,78.108
35,MAS,78.209
36,PER,78.235
37,MAL,78.328
38,GRO,78.335
39,CHI,78.348
40,BIA,78.359
41,VET,78.383
42,BOT,78.407
43,HUL,78.432
44,MAL,78.585
45,KVY,78.616
46,GUT,78.741
47,SUT,78.745
48,KOB,79.278
49,BIA,79.332
50,ERI,79.820
51,CHI,79.928
52,KOB,80.133
53,ERI,81.732
54,ROS,86.764
55,HAM,87.238
56,VET,87.958
57,RIC,88.053
58,MAS,88.061
59,KVY,88.074
60,HUL,88.155
61,VER,88.194
62,BOT,88.198
63,BUT,88.279
64,RAI,88.308
65,ALO,88.329
66,GUT,88.374
67,MAG,88.389
68,PER,88.469
69,GRO,88.472
70,SUT,88.563
71,CHI,89.586
72,BIA,90.177
73,ERI,90.312
74,KOB,90.375
75,PER,118.362
76,GUT,118.988
77,KOB,119.260
78,BIA,119.326
79,ERI,120.646
80,CHI,120.865
