Position,driver,q1
1,HAM,86.382
2,ROS,86.490
3,SAI,86.773
4,BOT,87.262
5,VER,87.393
6,VET,87.534
7,MAS,89.246
8,VER,89.248
9,VET,89.307
10,GRO,89.537
11,SAI,89.597
12,BOT,89.641
13,HUL,89.651
14,RAI,89.754
15,RIC,89.788
16,MAL,89.847
17,PER,89.990
18,KVY,90.402
19,NAS,90.430
20,ERI,91.376
21,BUT,91.422
22,MAG,92.037
23,HAM,93.928
24,BOT,94.161
25,ROS,94.398
26,MAS,94.488
27,RAI,94.568
28,RIC,94.691
29,VET,94.919
30,GRO,95.007
31,ALO,95.205
32,NAS,95.310
33,SAI,95.371
34,ERI,95.438
35,PER,95.451
36,VER,95.611
37,HUL,95.653
38,MAL,95.677
39,KVY,95.800
40,VET,97.502
41,RAI,97.790
42,BOT,98.014
43,GRO,98.209
44,HAM,98.285
45,VER,98.387
46,MAS,98.433
47,ROS,98.496
48,NAS,98.521
49,RIC,98.534
50,MAL,98.563
51,SAI,98.622
52,STE,98.713
53,PER,98.903
54,ERI,98.941
55,KVY,99.051
56,HUL,99.216
57,HAM,99.269
58,BUT,99.276
59,ALO,99.280
60,ROS,99.374
61,MER,99.722
62,VET,99.814
63,SAI,99.814
64,BOT,100.249
65,GRO,100.303
66,ERI,100.340
67,MAL,100.361
68,RAI,100.415
69,RIC,100.504
70,MAS,100.543
71,KVY,100.546
72,VER,100.793
73,HUL,100.830
74,PER,101.036
75,NAS,101.308
76,BUT,101.636
77,ALO,101.746
78,STE,102.091
79,MER,102.842
80,MER,106.677
