Position,driver,q1
1,RIC,90.775
2,MAG,90.949
3,MAS,91.228
4,ALO,91.388
5,BUT,91.396
6,BOT,91.601
7,HAM,91.699
8,VET,91.931
9,RAI,92.439
10,ROS,92.564
11,VER,93.488
12,SUT,93.673
13,KVY,93.777
14,HUL,93.893
15,PER,94.141
16,KOB,94.274
17,CHI,94.293
18,BIA,94.794
19,BOT,94.934
20,PER,94.998
21,GUT,95.117
22,ERI,95.157
23,RAI,95.234
24,HAM,95.323
25,ROS,95.439
26,BUT,95.699
27,RIC,96.220
28,GRO,96.993
29,ROS,117.183
30,HAM,117.202
31,VET,117.654
32,HUL,118.883
33,ALO,118.889
34,RIC,118.913
35,RAI,119.257
36,BOT,119.709
37,MAS,120.047
38,PER,120.076
39,GRO,120.202
40,MAG,120.356
41,BUT,120.889
42,GUT,121.134
43,KVY,121.175
44,VER,121.689
45,MAL,122.074
46,SUT,122.131
47,BIA,122.702
48,KOB,123.595
49,CHI,124.388
50,ERI,124.407
