Position,driver,q1
1,ROS,70.347
2,HAM,70.457
3,MAS,70.602
4,BOT,70.832
5,BUT,71.097
6,MAG,71.134
7,RAI,71.193
8,KVY,71.423
9,GUT,71.520
10,ALO,71.558
11,RIC,71.593
12,HUL,71.848
13,VET,71.880
14,SUT,71.943
15,GRO,72.037
16,VER,72.040
17,PER,72.076
18,MAL,72.233
19,HAM,88.586
20,ROS,88.906
21,VET,99.621
22,GRO,99.679
23,HAM,101.207
24,ROS,101.308
25,MAS,101.475
26,MAG,102.104
27,BUT,102.137
28,KVY,102.302
29,BOT,102.346
30,VER,102.413
31,RAI,102.439
32,HUL,102.444
33,ALO,102.467
34,PER,102.654
35,SUT,102.746
36,GRO,102.768
37,GUT,102.819
38,MAL,102.860
39,KOB,104.540
40,STE,105.095
