Position,driver,q1
1,ROS,70.347
2,HAM,70.457
3,MAS,70.602
4,BOT,70.832
5,BUT,71.097
6,MAG,71.134
7,RAI,71.193
8,KVY,71.423
9,GUT,71.520
10,ALO,71.558
11,RIC,71.593
12,HUL,71.848
13,VET,71.880
14,SUT,71.943
15,GRO,72.037
16,VER,72.040
17,PER,72.076
18,MAL,72.233
19,HAM,88.586
20,ROS,88.906
21,BIA,96.943
22,KOB,97.015
23,HAM,97.196
24,CHI,97.481
25,MAS,97.877
26,BOT,98.249
27,ROS,98.303
28,ALO,98.349
29,MAG,98.557
30,BUT,98.574
31,MAL,98.608
32,RAI,98.669
33,HAM,98.759
34,RIC,98.814
35,SUT,98.855
36,HUL,98.931
37,KVY,98.936
38,ROS,99.076
39,BOT,99.125
40,PER,99.200
41,VER,99.250
42,GUT,99.555
43,BUT,99.560
44,VET,99.621
45,GRO,99.679
46,MAG,99.735
47,KVY,100.074
48,RAI,100.098
49,ALO,100.255
50,HUL,100.273
51,VER,100.354
52,VET,100.382
53,RIC,100.519
54,PER,100.723
55,SUT,100.766
56,GUT,101.159
57,HAM,101.207
58,ROS,101.308
59,MAS,101.475
60,MAG,102.104
61,BUT,102.137
62,KVY,102.302
63,BOT,102.346
64,VER,102.413
65,RAI,102.439
66,HUL,102.444
67,ALO,102.467
68,GRO,102.526
69,ERI,102.648
70,PER,102.654
71,SUT,102.746
72,GRO,102.768
73,GUT,102.819
74,MAL,102.860
75,MAS,103.064
76,KOB,103.166
77,MAL,103.205
78,CHI,103.649
79,KOB,104.540
80,STE,105.095
