Position,driver,q1
1,VER,84.941
2,KVY,85.361
3,HAM,85.363
4,ROS,85.493
5,MAS,85.528
6,GUT,85.709
7,PER,85.910
8,BOT,86.012
9,SUT,86.027
10,GRO,86.136
11,VER,86.140
12,HUL,86.149
13,KVY,86.261
14,BUT,86.328
15,MAG,86.337
16,HUL,86.371
17,ALO,86.514
18,PER,86.569
19,MAG,86.578
20,MAS,86.592
21,BUT,86.612
22,VET,86.631
23,RAI,86.689
24,RIC,86.721
25,BIA,86.728
26,RAI,86.792
27,GUT,86.999
28,SUT,87.034
29,KOB,87.139
30,MAL,87.520
31,GRO,87.632
32,KOB,87.671
33,BIA,87.738
34,CHI,87.819
35,CHI,88.247
36,ERI,88.562
37,ERI,88.643
38,RAI,106.685
39,ALO,106.889
40,HAM,106.921
41,BUT,107.161
42,BOT,107.196
43,ROS,107.244
44,HUL,107.370
45,VER,107.407
46,VET,107.476
47,RIC,107.488
48,MAS,107.615
49,KVY,107.656
50,GRO,107.862
51,GUT,107.970
52,MAG,107.976
53,PER,108.143
54,SUT,108.324
55,MAL,109.063
56,BIA,109.440
57,KOB,110.405
58,CHI,110.473
59,ROS,127.130
60,HAM,127.280
61,MAS,128.403
62,BOT,129.250
63,VER,129.811
64,RAI,129.885
65,RIC,130.089
66,VET,130.105
67,ALO,130.197
68,KVY,130.445
69,BUT,130.529
70,PER,130.666
71,GRO,130.898
72,SUT,131.051
73,BIA,131.051
74,MAG,131.081
75,MAL,131.261
76,HUL,131.267
77,CHI,132.566
78,GUT,133.414
79,LOT,133.469
80,ERI,134.438
