Position,driver,q1
1,ROS,70.347
2,HAM,70.457
3,MAS,70.602
4,BOT,70.832
5,BUT,71.097
6,MAG,71.134
7,RAI,71.193
8,KVY,71.423
9,GUT,71.520
10,ALO,71.558
11,RIC,71.593
12,HUL,71.848
13,VET,71.880
14,SUT,71.943
15,GRO,72.037
16,VER,72.040
17,PER,72.076
18,MAL,72.233
19,HAM,88.586
20,ROS,88.906
21,HAM,93.611
22,ROS,93.671
23,BOT,94.301
24,MAS,94.483
25,ALO,94.497
26,MAG,94.930
27,RAI,94.984
28,HUL,95.000
29,BUT,95.150
30,VER,95.155
31,KVY,95.210
32,GUT,95.308
33,PER,95.439
34,VET,95.517
35,RIC,95.593
36,SUT,95.736
37,MAL,95.917
38,GRO,95.984
39,ERI,96.813
40,BIA,96.943
41,KOB,97.015
42,HAM,97.196
43,CHI,97.481
44,MAS,97.877
45,BOT,98.249
46,ROS,98.303
47,ALO,98.349
48,MAG,98.557
49,BUT,98.574
50,MAL,98.608
51,RAI,98.669
52,HAM,98.759
53,RIC,98.814
54,SUT,98.855
55,HUL,98.931
56,KVY,98.936
57,ROS,99.076
58,BOT,99.125
59,PER,99.200
60,VER,99.250
61,GUT,99.555
62,BUT,99.560
63,VET,99.621
64,GRO,99.679
65,MAG,99.735
66,KVY,100.074
67,RAI,100.098
68,ALO,100.255
69,HUL,100.273
70,VER,100.354
71,VET,100.382
72,RIC,100.519
73,PER,100.723
74,SUT,100.766
75,GUT,101.159
76,HAM,101.207
77,ROS,101.308
78,MAS,101.475
79,MAG,102.104
80,BUT,102.137
81,KVY,102.302
82,BOT,102.346
83,VER,102.413
84,RAI,102.439
85,HUL,102.444
86,ALO,102.467
87,GRO,102.526
88,ERI,102.648
89,PER,102.654
90,SUT,102.746
91,GRO,102.768
92,GUT,102.819
93,MAL,102.860
94,MAS,103.064
95,KOB,103.166
96,MAL,103.205
97,CHI,103.649
98,KOB,104.540
99,STE,105.095
100,ERI,112.287
