Position,driver,q1
1,HUL,94.874
2,BOT,94.934
3,PER,94.998
4,MAS,95.085
5,RAI,95.234
6,ALO,95.251
7,MAG,95.288
8,HAM,95.323
9,KVY,95.395
10,ROS,95.439
11,VET,95.549
12,BUT,95.699
13,VER,95.815
14,RIC,96.220
15,GUT,96.567
16,GRO,96.654
17,MAL,96.663
18,SUT,96.840
19,KOB,97.085
20,BIA,97.310
21,ERI,97.875
22,CHI,97.913
23,HAM,115.516
24,HUL,115.913
25,VET,115.926
26,ROS,116.058
27,BOT,116.501
28,RIC,116.641
29,MAS,116.850
30,ALO,116.961
31,KVY,117.261
32,MAG,117.369
33,VER,117.477
34,BUT,117.783
35,SUT,118.138
36,RAI,118.279
37,GRO,118.411
38,KOB,123.595
39,CHI,124.388
40,ERI,124.407
