Position,driver,q1
1,ROS,86.764
2,HAM,87.238
3,VET,87.958
4,RIC,88.053
5,MAS,88.061
6,KVY,88.074
7,HUL,88.155
8,BOT,88.198
9,BUT,88.279
10,RAI,88.308
11,ALO,88.329
12,GUT,88.374
13,PER,88.469
14,GRO,88.472
15,HUL,94.874
16,BOT,94.934
17,PER,94.998
18,MAS,95.085
19,RAI,95.234
20,ALO,95.251
21,MAG,95.288
22,HAM,95.323
23,KVY,95.395
24,ROS,95.439
25,VET,95.549
26,BUT,95.699
27,VER,95.815
28,RIC,96.220
29,GUT,96.567
30,GRO,96.654
31,MAL,96.663
32,SUT,96.840
33,KOB,97.085
34,BIA,97.310
35,ERI,97.875
36,CHI,97.913
37,HAM,115.516
38,HUL,115.913
39,VET,115.926
40,ROS,116.058
41,BOT,116.501
42,RIC,116.641
43,MAS,116.850
44,ALO,116.961
45,KVY,117.261
46,MAG,117.369
47,VER,117.477
48,BUT,117.783
49,SUT,118.138
50,RAI,118.279
51,PER,118.362
52,GRO,118.411
53,GUT,118.988
54,KOB,119.260
55,BIA,119.326
56,ERI,120.646
57,CHI,120.865
58,KOB,123.595
59,CHI,124.388
60,ERI,124.407
