Position,driver,q1
1,PER,70.124
2,VER,70.161
3,BUT,70.252
4,GRO,70.461
5,VET,70.630
6,MAL,70.821
7,SUT,70.825
8,GUT,71.349
9,BIA,71.412
10,KOB,71.673
11,CHI,71.775
12,ERI,72.673
13,ROS,77.631
14,RIC,78.117
15,VET,78.194
16,BOT,78.215
17,MAG,78.260
18,MAS,78.381
19,ALO,78.389
20,BUT,78.425
21,VER,78.496
22,KVY,78.530
23,RAI,78.534
24,HAM,78.683
25,GUT,78.739
26,GRO,78.894
27,PER,78.916
28,HUL,78.927
29,SUT,79.142
30,BIA,79.676
31,MAL,80.195
32,KOB,80.408
33,CHI,80.489
34,VER,84.941
35,ROS,85.227
36,KVY,85.361
37,RIC,85.495
38,VET,85.662
39,BOT,85.690
40,GUT,85.709
41,PER,85.910
42,SUT,86.027
43,ALO,86.087
44,GRO,86.136
45,HUL,86.149
46,MAG,86.578
47,MAS,86.592
48,BUT,86.612
49,BIA,86.728
50,RAI,86.792
51,KOB,87.139
52,CHI,87.819
53,ERI,88.643
54,ROS,100.380
55,KVY,101.032
56,HAM,101.058
57,BIA,101.169
58,HUL,101.271
59,CHI,102.082
60,PER,102.146
61,MAG,102.507
62,SUT,102.603
63,VER,103.040
64,GRO,103.121
65,GUT,103.285
66,MAL,103.892
67,BUT,104.425
68,RIC,104.710
69,VET,105.086
70,BOT,105.318
71,MAS,105.695
72,ALO,105.935
73,RAI,106.684
74,ERI,109.421
75,KOB,109.625
76,ROS,127.130
77,HAM,127.280
78,RIC,130.089
79,VET,130.105
80,ALO,130.197
