Position,driver,q1
1,ROS,76.471
2,VER,77.557
3,ROS,77.678
4,HAM,77.823
5,ALO,77.853
6,BUT,77.890
7,RIC,77.900
8,RAI,77.902
9,MAG,77.978
10,PER,78.108
11,MAS,78.209
12,GRO,78.335
13,VET,78.383
14,BOT,78.407
15,HUL,78.432
16,MAL,78.585
17,KVY,78.616
18,GUT,78.741
19,SUT,78.745
20,BIA,79.332
21,CHI,79.928
22,KOB,80.133
23,ERI,81.732
24,ROS,86.764
25,HAM,87.238
26,VET,87.958
27,RIC,88.053
28,MAS,88.061
29,KVY,88.074
30,HUL,88.155
31,VER,88.194
32,BOT,88.198
33,BUT,88.279
34,RAI,88.308
35,ALO,88.329
36,GUT,88.374
37,MAG,88.389
38,PER,88.469
39,GRO,88.472
40,SUT,88.563
41,CHI,89.586
42,BIA,90.177
43,ERI,90.312
44,KOB,90.375
45,SUT,96.840
46,KOB,97.085
47,BIA,97.310
48,ERI,97.875
49,CHI,97.913
50,HAM,115.516
51,HUL,115.913
52,VET,115.926
53,ROS,116.058
54,BOT,116.501
55,RIC,116.641
56,MAS,116.850
57,ALO,116.961
58,KVY,117.261
59,MAG,117.369
60,VER,117.477
61,BUT,117.783
62,SUT,118.138
63,RAI,118.279
64,PER,118.362
65,GRO,118.411
66,GUT,118.988
67,KOB,119.260
68,BIA,119.326
69,ERI,120.646
70,CHI,120.865
