Position,driver,q1
1,BIA,96.943
2,KOB,97.015
3,HAM,97.196
4,CHI,97.481
5,MAS,97.877
6,BOT,98.249
7,ROS,98.303
8,ALO,98.349
9,MAG,98.557
10,BUT,98.574
11,MAL,98.608
12,RAI,98.669
13,HAM,98.759
14,RIC,98.814
15,SUT,98.855
16,HUL,98.931
17,KVY,98.936
18,ROS,99.076
19,BOT,99.125
20,PER,99.200
21,VER,99.250
22,GUT,99.555
23,BUT,99.560
24,MAG,99.735
25,KVY,100.074
26,RAI,100.098
27,ALO,100.255
28,HUL,100.273
29,VER,100.354
30,VET,100.382
31,RIC,100.519
32,PER,100.723
33,SUT,100.766
34,GUT,101.159
35,GRO,102.526
36,ERI,102.648
37,MAS,103.064
38,KOB,103.166
39,MAL,103.205
40,CHI,103.649
