Position,driver,q1
1,ROS,76.528
2,HAM,76.588
3,KVY,76.845
4,RIC,77.254
5,VET,77.502
6,RAI,77.660
7,HAM,86.382
8,ROS,86.490
9,RAI,86.637
10,SAI,86.773
11,MAS,87.165
12,BOT,87.262
13,MAL,87.281
14,GRO,87.383
15,VER,87.393
16,VET,87.534
17,RIC,87.611
18,NAS,87.625
19,BUT,87.813
20,KVY,87.833
21,ALO,87.941
22,ERI,88.112
23,HUL,88.365
24,PER,88.442
25,RIC,90.775
26,MAG,90.949
27,STE,91.200
28,MAS,91.228
29,ALO,91.388
30,BUT,91.396
31,BOT,91.601
32,HAM,91.699
33,VET,91.931
34,MER,92.038
35,RAI,92.439
36,ROS,92.564
37,VER,93.488
38,SUT,93.673
39,KVY,93.777
40,HUL,93.893
41,HAM,93.928
42,PER,94.141
43,BOT,94.161
44,KOB,94.274
45,CHI,94.293
46,ROS,94.398
47,MAS,94.488
48,RAI,94.568
49,RIC,94.691
50,BIA,94.794
51,VET,94.919
52,GRO,95.007
53,GUT,95.117
54,ERI,95.157
55,ALO,95.205
56,NAS,95.310
57,SAI,95.371
58,ERI,95.438
59,PER,95.451
60,VER,95.611
61,HUL,95.653
62,MAL,95.677
63,KVY,95.800
64,GRO,96.993
65,STE,98.713
66,HUL,99.216
67,BUT,99.276
68,ALO,99.280
69,MER,99.722
70,STE,102.091
71,MER,102.842
72,ROS,117.183
73,HAM,117.202
74,VET,117.654
75,HUL,118.883
76,ALO,118.889
77,RIC,118.913
78,RAI,119.257
79,BOT,119.709
80,MAS,120.047
81,PER,120.076
82,GRO,120.202
83,MAG,120.356
84,BUT,120.889
85,GUT,121.134
86,KVY,121.175
87,VER,121.689
88,MAL,122.074
89,SUT,122.131
90,BIA,122.702
