Position,driver,q1
1,ALO,78.389
2,BUT,78.425
3,VER,78.496
4,KVY,78.530
5,RAI,78.534
6,HAM,78.683
7,GUT,78.739
8,GRO,78.894
9,PER,78.916
10,HUL,78.927
11,SUT,79.142
12,BIA,79.676
13,MAL,80.195
14,KOB,80.408
15,CHI,80.489
16,VER,84.941
17,ROS,85.227
18,KVY,85.361
19,RIC,85.495
20,VET,85.662
21,BOT,85.690
22,GUT,85.709
23,PER,85.910
24,SUT,86.027
25,ALO,86.087
26,GRO,86.136
27,HUL,86.149
28,MAG,86.578
29,MAS,86.592
30,BUT,86.612
31,BIA,86.728
32,RAI,86.792
33,KOB,87.139
34,CHI,87.819
35,ERI,88.643
36,ROS,127.130
37,HAM,127.280
38,RIC,130.089
39,VET,130.105
40,ALO,130.197
