Position,driver,q1
1,HAM,69.514
2,KVY,69.678
3,ROS,69.695
4,MAG,70.081
5,PER,70.124
6,VER,70.161
7,BUT,70.252
8,RAI,70.285
9,MAS,70.292
10,BOT,70.356
11,HUL,70.389
12,RIC,70.395
13,ALO,70.405
14,GRO,70.461
15,VET,70.630
16,MAL,70.821
17,SUT,70.825
18,GUT,71.349
19,BIA,71.412
20,KOB,71.673
21,CHI,71.775
22,ERI,72.673
23,HAM,75.750
24,MAG,76.446
25,BUT,76.631
26,MAS,76.666
27,BOT,76.772
28,HUL,76.897
29,KVY,76.938
30,ALO,77.010
31,RAI,77.013
32,RIC,77.113
33,VER,77.178
34,VET,77.470
35,SUT,77.519
36,ROS,77.631
37,GRO,77.732
38,RIC,78.117
39,VET,78.194
40,BOT,78.215
41,PER,78.235
42,MAG,78.260
43,MAL,78.328
44,CHI,78.348
45,BIA,78.359
46,MAS,78.381
47,ALO,78.389
48,BUT,78.425
49,VER,78.496
50,KVY,78.530
51,RAI,78.534
52,HAM,78.683
53,GUT,78.739
54,GRO,78.894
55,PER,78.916
56,HUL,78.927
57,SUT,79.142
58,KOB,79.278
59,BIA,79.676
60,ERI,79.820
61,MAL,80.195
62,KOB,80.408
63,CHI,80.489
64,ROS,85.227
65,RIC,85.495
66,VET,85.662
67,BOT,85.690
68,ALO,86.087
69,ROS,100.380
70,KVY,101.032
71,HAM,101.058
72,BIA,101.169
73,HUL,101.271
74,CHI,102.082
75,PER,102.146
76,MAG,102.507
77,SUT,102.603
78,VER,103.040
79,GRO,103.121
80,GUT,103.285
81,MAL,103.892
82,BUT,104.425
83,RIC,104.710
84,VET,105.086
85,BOT,105.318
86,MAS,105.695
87,ALO,105.935
88,RAI,106.684
89,ERI,109.421
90,KOB,109.625
