Position,driver,q1
1,ROS,76.528
2,HAM,76.588
3,KVY,76.845
4,RIC,77.254
5,VET,77.502
6,RAI,77.660
7,HUL,88.365
8,PER,88.442
9,RIC,90.775
10,MAG,90.949
11,STE,91.200
12,MAS,91.228
13,ALO,91.388
14,BUT,91.396
15,BOT,91.601
16,HAM,91.699
17,VET,91.931
18,MER,92.038
19,RAI,92.439
20,ROS,92.564
21,VER,93.488
22,SUT,93.673
23,KVY,93.777
24,HUL,93.893
25,PER,94.141
26,KOB,94.274
27,CHI,94.293
28,BIA,94.794
29,HUL,94.874
30,BOT,94.934
31,PER,94.998
32,MAS,95.085
33,GUT,95.117
34,ERI,95.157
35,RAI,95.234
36,ALO,95.251
37,MAG,95.288
38,HAM,95.323
39,KVY,95.395
40,ROS,95.439
41,VET,95.549
42,BUT,95.699
43,VER,95.815
44,RIC,96.220
45,GUT,96.567
46,GRO,96.654
47,MAL,96.663
48,GRO,96.993
49,ROS,117.183
50,HAM,117.202
51,VET,117.654
52,HUL,118.883
53,ALO,118.889
54,RIC,118.913
55,RAI,119.257
56,BOT,119.709
57,MAS,120.047
58,PER,120.076
59,GRO,120.202
60,MAG,120.356
61,BUT,120.889
62,GUT,121.134
63,KVY,121.175
64,VER,121.689
65,MAL,122.074
66,SUT,122.131
67,BIA,122.702
68,KOB,123.595
69,CHI,124.388
70,ERI,124.407
