Position,driver,q1
1,ROS,86.764
2,HAM,87.238
3,RIC,88.053
4,BOT,88.198
5,RIC,90.775
6,MAG,90.949
7,MAS,91.228
8,ALO,91.388
9,BUT,91.396
10,BOT,91.601
11,HAM,91.699
12,VET,91.931
13,RAI,92.439
14,ROS,92.564
15,VER,93.488
16,SUT,93.673
17,KVY,93.777
18,HUL,93.893
19,PER,94.141
20,KOB,94.274
21,CHI,94.293
22,BIA,94.794
23,HUL,94.874
24,BOT,94.934
25,PER,94.998
26,MAS,95.085
27,GUT,95.117
28,ERI,95.157
29,RAI,95.234
30,ALO,95.251
31,MAG,95.288
32,HAM,95.323
33,KVY,95.395
34,ROS,95.439
35,VET,95.549
36,BUT,95.699
37,VER,95.815
38,RIC,96.220
39,GUT,96.567
40,GRO,96.654
41,MAL,96.663
42,SUT,96.840
43,GRO,96.993
44,KOB,97.085
45,BIA,97.310
46,ERI,97.875
47,CHI,97.913
48,HAM,115.516
49,HUL,115.913
50,VET,115.926
51,ROS,116.058
52,BOT,116.501
53,RIC,116.641
54,MAS,116.850
55,ALO,116.961
56,ROS,117.183
57,HAM,117.202
58,KVY,117.261
59,MAG,117.369
60,VER,117.477
61,VET,117.654
62,BUT,117.783
63,SUT,118.138
64,RAI,118.279
65,PER,118.362
66,GRO,118.411
67,HUL,118.883
68,ALO,118.889
69,RIC,118.913
70,GUT,118.988
71,RAI,119.257
72,KOB,119.260
73,BIA,119.326
74,BOT,119.709
75,MAS,120.047
76,PER,120.076
77,GRO,120.202
78,MAG,120.356
79,ERI,120.646
80,CHI,120.865
81,BUT,120.889
82,GUT,121.134
83,KVY,121.175
84,VER,121.689
85,MAL,122.074
86,SUT,122.131
87,BIA,122.702
88,KOB,123.595
89,CHI,124.388
90,ERI,124.407
