Position,driver,q1
1,HUL,86.371
2,GUT,86.999
3,SUT,87.034
4,MAL,87.520
5,GRO,87.632
6,KOB,87.671
7,BIA,87.738
8,CHI,88.247
9,ERI,88.562
10,HAM,93.611
11,ROS,93.671
12,BOT,94.301
13,MAS,94.483
14,ALO,94.497
15,MAG,94.930
16,RAI,94.984
17,HUL,95.000
18,BUT,95.150
19,VER,95.155
20,KVY,95.210
21,GUT,95.308
22,PER,95.439
23,VET,95.517
24,RIC,95.593
25,SUT,95.736
26,MAL,95.917
27,GRO,95.984
28,ERI,96.813
29,BIA,96.943
30,KOB,97.015
31,HAM,97.196
32,CHI,97.481
33,MAS,97.877
34,BOT,98.249
35,ROS,98.303
36,ALO,98.349
37,MAG,98.557
38,BUT,98.574
39,MAL,98.608
40,RAI,98.669
41,HAM,98.759
42,RIC,98.814
43,SUT,98.855
44,HUL,98.931
45,KVY,98.936
46,ROS,99.076
47,BOT,99.125
48,PER,99.200
49,VER,99.250
50,GUT,99.555
51,BUT,99.560
52,MAG,99.735
53,KVY,100.074
54,RAI,100.098
55,ALO,100.255
56,HUL,100.273
57,VER,100.354
58,VET,100.382
59,RIC,100.519
60,PER,100.723
61,SUT,100.766
62,GUT,101.159
63,GRO,102.526
64,ERI,102.648
65,MAS,103.064
66,KOB,103.166
67,MAL,103.205
68,CHI,103.649
69,RAI,106.685
70,ALO,106.889
71,HAM,106.921
72,BUT,107.161
73,BOT,107.196
74,ROS,107.244
75,HUL,107.370
76,VER,107.407
77,VET,107.476
78,RIC,107.488
79,MAS,107.615
80,KVY,107.656
81,GRO,107.862
82,GUT,107.970
83,MAG,107.976
84,PER,108.143
85,SUT,108.324
86,MAL,109.063
87,BIA,109.440
88,KOB,110.405
89,CHI,110.473
90,ERI,112.287
