Position,driver,q1
1,HAM,85.363
2,ROS,85.493
3,MAS,85.528
4,BOT,86.012
5,VER,86.140
6,KVY,86.261
7,BUT,86.328
8,MAG,86.337
9,HUL,86.371
10,ALO,86.514
11,PER,86.569
12,VET,86.631
13,RAI,86.689
14,RIC,86.721
15,GUT,86.999
16,SUT,87.034
17,MAL,87.520
18,GRO,87.632
19,KOB,87.671
20,BIA,87.738
21,CHI,88.247
22,ERI,88.562
23,RAI,106.685
24,ALO,106.889
25,HAM,106.921
26,BUT,107.161
27,BOT,107.196
28,ROS,107.244
29,HUL,107.370
30,VER,107.407
31,VET,107.476
32,RIC,107.488
33,MAS,107.615
34,KVY,107.656
35,GRO,107.862
36,GUT,107.970
37,MAG,107.976
38,PER,108.143
39,SUT,108.324
40,MAL,109.063
41,BIA,109.440
42,KOB,110.405
43,CHI,110.473
44,BIA,131.051
45,MAL,131.261
46,HUL,131.267
47,CHI,132.566
48,GUT,133.414
49,LOT,133.469
50,ERI,134.438
