Position,driver,q1
1,ROS,86.764
2,HAM,87.238
3,VET,87.958
4,RIC,88.053
5,MAS,88.061
6,KVY,88.074
7,HUL,88.155
8,BOT,88.198
9,BUT,88.279
10,RAI,88.308
11,ALO,88.329
12,GUT,88.374
13,PER,88.469
14,GRO,88.472
15,HUL,94.874
16,MAS,95.085
17,ALO,95.251
18,MAG,95.288
19,KVY,95.395
20,VET,95.549
21,VER,95.815
22,GUT,96.567
23,GRO,96.654
24,MAL,96.663
25,SUT,96.840
26,KOB,97.085
27,BIA,97.310
28,ERI,97.875
29,CHI,97.913
30,HAM,115.516
31,HUL,115.913
32,VET,115.926
33,ROS,116.058
34,BOT,116.501
35,RIC,116.641
36,MAS,116.850
37,ALO,116.961
38,KVY,117.261
39,MAG,117.369
40,VER,117.477
41,BUT,117.783
42,SUT,118.138
43,RAI,118.279
44,PER,118.362
45,GRO,118.411
46,GUT,118.988
47,KOB,119.260
48,BIA,119.326
49,ERI,120.646
50,CHI,120.865
