Position,driver,q1
1,ROS,70.347
2,HAM,70.457
3,MAS,70.602
4,BOT,70.832
5,BUT,71.097
6,MAG,71.134
7,RAI,71.193
8,KVY,71.423
9,GUT,71.520
10,ALO,71.558
11,RIC,71.593
12,HUL,71.848
13,VET,71.880
14,SUT,71.943
15,GRO,72.037
16,VER,72.040
17,PER,72.076
18,MAL,72.233
19,HAM,88.586
20,ROS,88.906
21,RAI,94.984
22,HUL,95.000
23,VER,95.155
24,KVY,95.210
25,GUT,95.308
26,PER,95.439
27,SUT,95.736
28,MAL,95.917
29,GRO,95.984
30,ERI,96.813
31,BIA,96.943
32,KOB,97.015
33,HAM,97.196
34,CHI,97.481
35,MAS,97.877
36,BOT,98.249
37,ROS,98.303
38,ALO,98.349
39,MAG,98.557
40,BUT,98.574
41,MAL,98.608
42,RAI,98.669
43,HAM,98.759
44,RIC,98.814
45,SUT,98.855
46,HUL,98.931
47,KVY,98.936
48,ROS,99.076
49,BOT,99.125
50,PER,99.200
51,VER,99.250
52,GUT,99.555
53,BUT,99.560
54,VET,99.621
55,GRO,99.679
56,MAG,99.735
57,KVY,100.074
58,RAI,100.098
59,ALO,100.255
60,HUL,100.273
61,VER,100.354
62,VET,100.382
63,RIC,100.519
64,PER,100.723
65,SUT,100.766
66,GUT,101.159
67,HAM,101.207
68,ROS,101.308
69,MAS,101.475
70,MAG,102.104
71,BUT,102.137
72,KVY,102.302
73,BOT,102.346
74,VER,102.413
75,RAI,102.439
76,HUL,102.444
77,ALO,102.467
78,GRO,102.526
79,ERI,102.648
80,PER,102.654
81,SUT,102.746
82,GRO,102.768
83,GUT,102.819
84,MAL,102.860
85,MAS,103.064
86,KOB,103.166
87,MAL,103.205
88,CHI,103.649
89,KOB,104.540
90,STE,105.095
