Position,driver,q1
1,RIC,90.775
2,MAG,90.949
3,MAS,91.228
4,ALO,91.388
5,BUT,91.396
6,BOT,91.601
7,HAM,91.699
8,VET,91.931
9,RAI,92.439
10,ROS,92.564
11,VER,93.488
12,SUT,93.673
13,KVY,93.777
14,HUL,93.893
15,PER,94.141
16,KOB,94.274
17,CHI,94.293
18,BIA,94.794
19,HUL,94.874
20,BOT,94.934
21,PER,94.998
22,MAS,95.085
23,GUT,95.117
24,ERI,95.157
25,RAI,95.234
26,ALO,95.251
27,MAG,95.288
28,HAM,95.323
29,KVY,95.395
30,ROS,95.439
31,VET,95.549
32,BUT,95.699
33,VER,95.815
34,RIC,96.220
35,GUT,96.567
36,GRO,96.654
37,MAL,96.663
38,SUT,96.840
39,GRO,96.993
40,KOB,97.085
41,BIA,97.310
42,ERI,97.875
43,CHI,97.913
44,HAM,115.516
45,HUL,115.913
46,VET,115.926
47,ROS,116.058
48,BOT,116.501
49,RIC,116.641
50,MAS,116.850
51,ALO,116.961
52,ROS,117.183
53,HAM,117.202
54,KVY,117.261
55,MAG,117.369
56,VER,117.477
57,VET,117.654
58,BUT,117.783
59,SUT,118.138
60,RAI,118.279
61,GRO,118.411
62,HUL,118.883
63,ALO,118.889
64,RIC,118.913
65,RAI,119.257
66,BOT,119.709
67,MAS,120.047
68,PER,120.076
69,GRO,120.202
70,MAG,120.356
71,BUT,120.889
72,GUT,121.134
73,KVY,121.175
74,VER,121.689
75,MAL,122.074
76,SUT,122.131
77,BIA,122.702
78,KOB,123.595
79,CHI,124.388
80,ERI,124.407
