Position,driver,q1
1,ROS,70.347
2,HAM,70.457
3,MAS,70.602
4,BOT,70.832
5,BUT,71.097
6,MAG,71.134
7,RAI,71.193
8,KVY,71.423
9,GUT,71.520
10,ALO,71.558
11,RIC,71.593
12,HUL,71.848
13,VET,71.880
14,SUT,71.943
15,GRO,72.037
16,VER,72.040
17,PER,72.076
18,MAL,72.233
19,HAM,88.586
20,ROS,88.906
21,MAG,98.557
22,BUT,98.574
23,MAL,98.608
24,RAI,98.669
25,SUT,98.855
26,HUL,98.931
27,KVY,98.936
28,PER,99.200
29,VER,99.250
30,GUT,99.555
31,VET,99.621
32,GRO,99.679
33,HAM,101.207
34,ROS,101.308
35,MAS,101.475
36,MAG,102.104
37,BUT,102.137
38,KVY,102.302
39,BOT,102.346
40,VER,102.413
41,RAI,102.439
42,HUL,102.444
43,ALO,102.467
44,PER,102.654
45,SUT,102.746
46,GRO,102.768
47,GUT,102.819
48,MAL,102.860
49,KOB,104.540
50,STE,105.095
