Position,driver,q1
1,HAM,69.514
2,KVY,69.678
3,ROS,69.695
4,MAG,70.081
5,PER,70.124
6,VER,70.161
7,BUT,70.252
8,RAI,70.285
9,MAS,70.292
10,BOT,70.356
11,HUL,70.389
12,RIC,70.395
13,ALO,70.405
14,GRO,70.461
15,VET,70.630
16,MAL,70.821
17,SUT,70.825
18,GUT,71.349
19,BIA,71.412
20,KOB,71.673
21,CHI,71.775
22,ERI,72.673
23,HAM,75.750
24,MAG,76.446
25,ROS,76.471
26,BUT,76.631
27,MAS,76.666
28,BOT,76.772
29,HUL,76.897
30,KVY,76.938
31,ALO,77.010
32,RAI,77.013
33,RIC,77.113
34,VER,77.178
35,VET,77.470
36,SUT,77.519
37,VER,77.557
38,ROS,77.678
39,GRO,77.732
40,HAM,77.823
41,ALO,77.853
42,BUT,77.890
43,RIC,77.900
44,RAI,77.902
45,MAG,77.978
46,PER,78.108
47,MAS,78.209
48,PER,78.235
49,MAL,78.328
50,GRO,78.335
51,CHI,78.348
52,BIA,78.359
53,VET,78.383
54,BOT,78.407
55,HUL,78.432
56,MAL,78.585
57,KVY,78.616
58,GUT,78.741
59,SUT,78.745
60,KOB,79.278
61,BIA,79.332
62,ERI,79.820
63,CHI,79.928
64,KOB,80.133
65,ERI,81.732
66,VET,87.958
67,MAS,88.061
68,KVY,88.074
69,HUL,88.155
70,VER,88.194
71,BUT,88.279
72,RAI,88.308
73,ALO,88.329
74,GUT,88.374
75,MAG,88.389
76,PER,88.469
77,GRO,88.472
78,SUT,88.563
79,CHI,89.586
80,BIA,90.177
81,ERI,90.312
82,KOB,90.375
83,ROS,100.380
84,HAM,101.058
85,HUL,101.271
86,PER,102.146
87,MAG,102.507
88,BUT,104.425
89,RIC,104.710
90,VET,105.086
