Position,driver,q1
1,HAM,86.382
2,ROS,86.490
3,SAI,86.773
4,BOT,87.262
5,VER,87.393
6,VET,87.534
7,HAM,93.928
8,BOT,94.161
9,ROS,94.398
10,MAS,94.488
11,RAI,94.568
12,RIC,94.691
13,VET,94.919
14,GRO,95.007
15,ALO,95.205
16,NAS,95.310
17,SAI,95.371
18,ERI,95.438
19,PER,95.451
20,VER,95.611
21,HUL,95.653
22,MAL,95.677
23,KVY,95.800
24,VET,97.502
25,RAI,97.790
26,BOT,98.014
27,GRO,98.209
28,HAM,98.285
29,VER,98.387
30,MAS,98.433
31,ROS,98.496
32,NAS,98.521
33,RIC,98.534
34,MAL,98.563
35,SAI,98.622
36,STE,98.713
37,PER,98.903
38,ERI,98.941
39,KVY,99.051
40,HUL,99.216
41,BUT,99.276
42,ALO,99.280
43,MER,99.722
44,SAI,99.814
45,BOT,100.249
46,GRO,100.303
47,ERI,100.340
48,MAL,100.361
49,RAI,100.415
50,MAS,100.543
51,KVY,100.546
52,VER,100.793
53,HUL,100.830
54,PER,101.036
55,NAS,101.308
56,BUT,101.636
57,ALO,101.746
58,STE,102.091
59,MER,102.842
60,MER,106.677
