Position,driver,q1
1,MAS,89.246
2,VER,89.248
3,VET,89.307
4,GRO,89.537
5,SAI,89.597
6,BOT,89.641
7,HUL,89.651
8,RAI,89.754
9,RIC,89.788
10,MAL,89.847
11,PER,89.990
12,KVY,90.402
13,NAS,90.430
14,ERI,91.376
15,BUT,91.422
16,MAG,92.037
17,VET,97.502
18,RAI,97.790
19,BOT,98.014
20,GRO,98.209
21,HAM,98.285
22,VER,98.387
23,MAS,98.433
24,ROS,98.496
25,NAS,98.521
26,RIC,98.534
27,MAL,98.563
28,SAI,98.622
29,PER,98.903
30,ERI,98.941
31,KVY,99.051
32,HAM,99.269
33,ROS,99.374
34,VET,99.814
35,SAI,99.814
36,BOT,100.249
37,GRO,100.303
38,ERI,100.340
39,MAL,100.361
40,RAI,100.415
41,RIC,100.504
42,MAS,100.543
43,KVY,100.546
44,VER,100.793
45,HUL,100.830
46,PER,101.036
47,NAS,101.308
48,BUT,101.636
49,ALO,101.746
50,MER,106.677
