Position,driver,q1
1,HAM,93.611
2,ROS,93.671
3,BOT,94.301
4,MAS,94.483
5,ALO,94.497
6,MAG,94.930
7,RAI,94.984
8,HUL,95.000
9,BUT,95.150
10,VER,95.155
11,KVY,95.210
12,GUT,95.308
13,PER,95.439
14,VET,95.517
15,RIC,95.593
16,SUT,95.736
17,MAL,95.917
18,GRO,95.984
19,ERI,96.813
20,BIA,96.943
21,KOB,97.015
22,HAM,97.196
23,CHI,97.481
24,MAS,97.877
25,BOT,98.249
26,ROS,98.303
27,ALO,98.349
28,MAG,98.557
29,BUT,98.574
30,MAL,98.608
31,RAI,98.669
32,HAM,98.759
33,RIC,98.814
34,SUT,98.855
35,HUL,98.931
36,KVY,98.936
37,ROS,99.076
38,BOT,99.125
39,PER,99.200
40,VER,99.250
41,GUT,99.555
42,BUT,99.560
43,MAG,99.735
44,KVY,100.074
45,RAI,100.098
46,ALO,100.255
47,HUL,100.273
48,VER,100.354
49,VET,100.382
50,RIC,100.519
51,PER,100.723
52,SUT,100.766
53,GUT,101.159
54,GRO,102.526
55,ERI,102.648
56,MAS,103.064
57,KOB,103.166
58,MAL,103.205
59,CHI,103.649
60,ERI,112.287
