Position,driver,q1
1,HAM,69.514
2,KVY,69.678
3,ROS,69.695
4,MAG,70.081
5,PER,70.124
6,VER,70.161
7,BUT,70.252
8,RAI,70.285
9,MAS,70.292
10,BOT,70.356
11,HUL,70.389
12,RIC,70.395
13,ALO,70.405
14,GRO,70.461
15,VET,70.630
16,MAL,70.821
17,SUT,70.825
18,GUT,71.349
19,BIA,71.412
20,KOB,71.673
21,CHI,71.775
22,ERI,72.673
23,ROS,77.631
24,RIC,78.117
25,VET,78.194
26,BOT,78.215
27,MAG,78.260
28,MAS,78.381
29,ROS,100.380
30,KVY,101.032
31,HAM,101.058
32,BIA,101.169
33,HUL,101.271
34,CHI,102.082
35,PER,102.146
36,MAG,102.507
37,SUT,102.603
38,VER,103.040
39,GRO,103.121
40,GUT,103.285
41,MAL,103.892
42,BUT,104.425
43,RIC,104.710
44,VET,105.086
45,BOT,105.318
46,MAS,105.695
47,ALO,105.935
48,RAI,106.684
49,ERI,109.421
50,KOB,109.625
